RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,lamellae hind internal,lamellae hind external,lamellae front internal,lamellae front external,lamellae counter,lamellae hind internal replicate,lamellae front internal replicate,lamellae counter replicate,ventral scale count,dorsal scale count,SVL,Finger,Toe,Jaw,Head,Radius,Femur,Tibia,Meta,SVL_1,SVL_2,SVL_3,R_finger,L_finger,R_toe,L_toe,r_jaw,l_jaw,head,r_radius,l_radius,r_femur,r_tibia,r_meta,l_femur,l_tibia,l_meta
RGR0528,2938015,Y,,LongIsland,Simms,mangrove,23.473987,-75.229859,F,1.2,,29,,16,,RGR,,,,,,34.08633333,5.656,6.705,10.32,11.371,4.963,7.995,7.68,5.189,34.424,33.934,33.901,3.731,5.656,6.705,6.653,10.32,9.591,11.371,4.785,4.963,7.995,7.68,5.189,7.595,7.253,4.679
RGR0529,2938014,Y,,LongIsland,Simms,mangrove,23.473987,-75.229859,F,1.8,,29,,16,,RGR,,,,,,38.452,5.122,7.089,10.818,11.793,5.903,9.171,8.058,5.63,38.677,38.461,38.218,5.088,5.122,7.089,6.701,10.781,10.818,11.793,5.903,5.267,8.921,7.66,5.417,9.171,8.058,5.63
RGR0530,2938013,Y,,LongIsland,Simms,mangrove,23.473987,-75.229859,M,3.0,"wrongly annotated as F, corrected to M by RS",33,,19,,RGR,,,,,,47.04766667,7.457,10.361,12.771,13.317,7.259,10.846,10.452,6.78,47.091,47.066,46.986,7.457,6.9,9.681,10.361,11.89,12.771,13.317,6.447,7.259,10.693,10.052,6.6,10.846,10.452,6.78
RGR0531,2938012,Y,,LongIsland,Simms,mangrove,23.473987,-75.229859,F,1.4,,25,,16,,RGR,,,,,,36.325,5.413,7.259,9.965,10.975,4.13,5.975,5.295,4.179,36.406,36.485,36.084,5.377,5.413,6.056,7.259,9.965,9.886,10.975,4.044,4.13,5.975,5.113,3.922,5.895,5.295,4.179
RGR0532,2938011,Y,,LongIsland,Simms,mangrove,23.473987,-75.229859,F,0.8,no scan,NA,,NA,,RGR,,,,,,30.81166667,4.759,6.729,9.606,9.617,4.828,7.465,6.702,4.785,30.868,30.716,30.851,4.08,4.759,5.53,6.729,9.472,9.606,9.617,4.828,4.562,7.465,6.384,4.128,7.113,6.702,4.785
RGR0621,2937919,Y,,LongIsland,Banana Farm,secondary,23.187593,-75.107907,F,1.1,next to pasture,30,,16,,RGR,,,,,,35.54166667,5.332,7.943,10.046,11.172,4.787,8.263,7.881,5.339,35.654,35.401,35.57,4.773,5.332,7.943,,9.997,10.046,11.172,4.787,4.66,7.723,7.881,5.339,8.263,7.41,5.262
RGR0622,2937918,Y,,LongIsland,Banana Farm,secondary,23.187593,-75.107907,F,1.4,,29,,18,,RGR,,,,,,37.78033333,6.17,8.754,10.717,11.564,5.171,8.876,8.422,5.233,37.879,37.683,37.779,6.17,5.022,7.809,8.754,10.717,10.563,11.564,5.171,5.09,8.595,8.153,5.233,8.876,8.422,5.015
RGR0623,2937917,Y,,LongIsland,Banana Farm,secondary,23.187593,-75.107907,F,1.4,,27,,17,,RGR,,,,,,36.99166667,5.502,7.377,10.823,11.23,5.222,8.701,7.655,5.633,37.07,36.96,36.945,5.502,4.982,7.377,7.05,9.736,10.823,11.23,4.904,5.222,8.701,7.655,5.182,8.514,7.339,5.633
RGR0624,2937916,Y,,LongIsland,Banana Farm,secondary,23.187593,-75.107907,F,1.7,,27,,16,,RGR,,,,,,37.055,5.109,6.973,10.389,10.6,5.182,7.914,7.493,5.491,37.229,36.93,37.006,5.087,5.109,6.582,6.973,10.389,9.63,10.6,4.834,5.182,7.914,7.493,5.491,7.662,7.143,4.8
RGR0625,2937915,Y,,LongIsland,Banana Farm,secondary,23.187593,-75.107907,F,1.7,,29,,16,,RGR,,,,,,39.531,5.498,7.817,11.073,11.972,5.331,9.105,8.276,5.759,39.387,39.687,39.519,5.498,5.41,6.722,7.817,11.073,10.852,11.972,5.159,5.331,9.105,8.276,5.172,8.991,7.921,5.759
RGR0626,2937914,Y,,LongIsland,Banana Farm,secondary,23.187593,-75.107907,F,1.8,,30,,16,,RGR,,,,,,38.79333333,5.567,7.517,10.681,11.557,4.742,8.951,7.885,5.549,38.643,38.905,38.832,5.567,5.151,7.297,7.517,10.426,10.681,11.557,4.742,4.681,8.721,7.843,5.534,8.951,7.885,5.549
RGR0627,2937913,Y,,LongIsland,Banana Farm,secondary,23.187593,-75.107907,F,1.5,,30,,17,,RGR,,,,,,37.417,5.742,7.706,10.12,11.035,5.206,8.721,8.011,5.482,37.599,37.173,37.479,5.742,5.389,7.706,7.515,10.12,9.919,11.035,5.206,5.001,8.586,7.823,4.911,8.721,8.011,5.482
RGR0628,2937912,Y,,LongIsland,Banana Farm,secondary,23.187593,-75.107907,F,1.3,,30,,NA,,RGR,,,,,,33.97866667,4.348,7.884,8.511,8.997,4.504,8.577,7.652,5.273,33.835,34.211,33.89,4.348,,7.884,7.228,8.294,8.511,8.997,,4.504,8.577,7.652,5.216,8.167,7.19,5.273
RGR0629,2937911,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,2.0,,31,,17,,RGR,,,,,,39.53633333,5.695,8.647,11.49,11.984,6.097,8.564,8.248,5.668,39.576,39.381,39.652,5.695,5.561,6.587,8.647,11.082,11.49,11.984,5.941,6.097,8.001,7.682,5.668,8.564,8.248,5.523
RGR0630,2937910,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.8,,29,,18,,RGR,,,,,,41.27966667,6.616,8.672,12.338,12.224,6.239,9.423,9.055,6.185,41.254,41.207,41.378,6.335,6.616,8.672,6.987,11.642,12.338,12.224,5.95,6.239,9.423,9.055,6.185,9.016,8.787,5.931
RGR0631,2937909,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.7,,28,,16,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0632,2937908,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.7,,30,,17,,RGR,,,,,,37.764,5.601,7.529,10.546,11.566,5.615,9.051,7.929,5.657,37.654,37.772,37.866,5.305,5.601,6.198,7.529,10.335,10.546,11.566,5.615,5.515,9.051,7.929,5.657,8.258,7.731,5.376
RGR0633,2937907,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.8,,28,,17,,RGR,,,,,,37.892,5.925,9.374,11.154,11.525,5.424,8.862,8.129,5.391,37.837,37.972,37.867,5.278,5.925,9.374,8.011,11.154,10.099,11.525,5.424,5.227,8.862,7.615,5.391,8.716,8.129,5.251
RGR0634,2937906,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.9,,31,,19,,RGR,,,,,,39.58366667,5.936,8.041,10.957,11.206,5.863,9.489,8.845,6.546,39.433,39.565,39.753,5.934,5.936,7.949,8.041,10.957,10.545,11.206,5.863,5.488,9.239,8.474,5.955,9.489,8.845,6.546
RGR0635,2937905,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.8,,30,,18,,RGR,,,,,,41.27033333,5.438,8.227,10.608,11.582,5.782,9.279,8.404,5.687,41.363,41.094,41.354,5.356,5.438,8.227,,10.608,10.437,11.582,5.241,5.782,9.084,8.308,5.687,9.279,8.404,5.681
RGR0636,2937904,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.6,,28,,16,,RGR,,,,,,36.945,4.505,7.065,9.902,10.61,5.386,8.837,7.913,5.077,37.143,36.755,36.937,4.334,4.505,6.127,7.065,9.902,9.815,10.61,5.386,5.298,8.837,7.913,5.077,8.79,7.879,4.987
RGR0637,2937903,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.9,,29,,15,,RGR,,,,,,40.112,5.688,8.504,10.549,11.257,5.472,8.931,8.065,5.762,39.855,40.192,40.289,5.688,5.601,8.504,8.426,10.29,10.549,11.257,5.472,5.267,8.906,8.065,5.59,8.931,7.876,5.762
RGR0638,2937902,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.6,,29,,17,,RGR,,,,,,36.64333333,5.828,8.721,10.208,10.451,4.579,8.991,8.068,5.716,36.436,36.637,36.857,5.787,5.828,8.721,7.858,10.208,9.866,10.451,4.316,4.579,8.991,8.068,5.298,8.855,7.737,5.716
RGR0639,2937901,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.8,,30,,17,,RGR,,,,,,38.71766667,5.587,8.561,10.62,11.483,5.413,9.165,8.467,5.693,38.588,38.87,38.695,5.587,5.422,8.262,8.561,10.62,10.513,11.483,5.413,5.092,8.656,8.1,5.071,9.165,8.467,5.693
RGR0640,2937900,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,F,1.8,,29,,17,,RGR,,,,,,40.102,5.758,7.842,11.597,12.002,5.642,9.316,8.486,5.674,40.195,40.002,40.109,5.758,4.885,6.685,7.842,11.597,10.527,12.002,5.642,5.507,9.316,7.917,5.516,9.227,8.486,5.674
RGR0641,2937899,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,2.7,,31,,19,,RGR,,,,,,45.88666667,7.327,8.707,12.775,13.359,6.95,10.784,9.713,6.77,45.732,45.792,46.136,6.826,7.327,8.707,,12.77,12.775,13.359,6.919,6.95,10.784,9.434,6.337,10.119,9.713,6.77
RGR0642,2937898,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,3.0,,30,,17,,RGR,,,,,,47.349,7.092,10.569,13.266,13.852,7.664,11.666,10.448,7.001,47.495,47.417,47.135,7.092,6.446,8.681,10.569,13.266,12.961,13.852,7.276,7.664,11.666,10.448,7.001,11.37,10.255,6.372
RGR0643,2937897,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,2.5,,30,,18,,RGR,,,,,,46.119,7,9.597,13.038,13.559,7.57,10.655,10.498,7.55,46.084,46.125,46.148,7,6.306,8.542,9.597,13.038,12.908,13.559,6.792,7.57,10.655,10.498,7.55,10.154,9.358,7.275
RGR0644,2937896,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,2.9,,33,,18,,RGR,,,,,,47.42533333,7.599,10.222,13.04,13.467,7.081,11.422,10.509,7.322,47.281,47.358,47.637,7.599,6.845,10.222,9.649,13.04,12.91,13.467,7.081,6.847,11.122,10.509,6.469,11.422,10.345,7.322
RGR0645,2937895,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,2.5,,32,,18,,RGR,,,,,,44.31733333,6.995,10.36,12.259,13.162,7.011,11.487,10.323,7.438,44.232,44.319,44.401,6.156,6.995,10.36,8.428,12.165,12.259,13.162,7.011,6.78,11.045,10.046,7.438,11.487,10.323,6.957
RGR0646,2937894,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,3.0,,30,,17,,RGR,,,,,,47.47633333,6.983,9.654,12.952,14.274,7.441,11.984,10.847,6.817,47.821,47.439,47.169,6.983,6.87,9.654,9.006,12.952,12.844,14.274,7.441,7.221,11.182,10.847,6.717,11.984,10.41,6.817
RGR0647,2937893,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,6.8,,31,,19,,RGR,,,,,,59.22466667,9.186,12.5,16.396,16.68,7.783,13.465,12.414,8.17,59.289,59.245,59.14,8.956,9.186,12.5,11.383,16.396,15.688,16.68,7.783,7.576,12.401,12.414,7.788,13.465,11.918,8.17
RGR0648,2937892,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,3.7,,32,,19,,RGR,,,,,,49.50766667,7.336,10.881,13.371,13.488,7.185,12.009,11.364,7.071,49.388,49.209,49.926,7.336,7.183,10.51,10.881,13.371,13.267,13.488,6.942,7.185,11.946,10.925,6.908,12.009,11.364,7.071
RGR0649,2937891,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,4.7,,29,,19,,RGR,,,,,,54.70966667,9.096,10.838,14.569,14.991,7.698,12.233,11.037,6.977,54.496,55.041,54.592,7.655,9.096,10.838,9.972,14.244,14.569,14.991,7.698,6.822,12.233,11.037,6.915,11.942,10.037,6.977
RGR0650,2937890,Y,,LongIsland,Whymms Beach,coastal,23.428201,-75.206269,M,6.1,,29,,18,,RGR,,,,,,53.098,7.867,11.03,14.589,14.392,7.586,12.555,11.318,7.724,53.188,53.575,52.531,7.394,7.867,10.823,11.03,14.589,13.966,14.392,7.586,7.174,12.555,11.318,7.724,12.144,11.2,7.526
RGR0835,2937678,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,1.5,,29,,18,,RGR,,,,,,35.89866667,5.504,7.986,10.448,11.028,4.68,8.394,7.644,5.426,35.938,35.757,36.001,5.504,4.902,7.986,6.22,10.448,10.349,11.028,4.23,4.68,8.249,7.644,5.426,8.394,7.617,5.057
RGR0836,2937677,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,1.1,,26,,15,,RGR,,,,,,34.78,6.306,7.974,10.057,10.608,5.287,8.045,7.217,5.55,34.671,34.974,34.695,5.334,6.306,7.539,7.974,10.057,9.275,10.608,5.287,4.769,7.906,7.031,5.235,8.045,7.217,5.55
RGR0837,2937676,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,2.1,,28,,15,,RGR,,,,,,40.71866667,5.484,6.811,11.773,12.148,6.171,9.034,7.917,5.877,40.825,40.371,40.96,5.016,5.484,6.357,6.811,11.773,11.541,12.148,6.171,5.793,8.898,7.917,5.877,9.034,7.914,5.31
RGR0838,2937675,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,1.2,,28,,16,,RGR,,,,,,34.702,4.867,6.827,9.733,10.766,5.254,8.285,7.439,5.182,34.931,34.663,34.512,4.2,4.867,6.827,5.788,9.671,9.733,10.766,5.254,4.741,8.285,7.104,5.182,8.024,7.439,5.118
RGR0839,2937674,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,1.6,,29,,16,,RGR,,,,,,37.71566667,5.471,8.414,10.633,11.542,4.917,8.751,8.223,5.802,37.455,37.847,37.845,5.225,5.471,7.736,8.414,10.633,10.62,11.542,4.917,4.897,8.155,7.809,5.649,8.751,8.223,5.802
RGR0840,2937673,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,2.0,,27,,16,,RGR,,,,,,38.803,5.775,7.799,10.639,11.45,5.368,9.003,8.062,5.496,39.248,38.701,38.46,5.775,5.574,7.526,7.799,10.639,10.44,11.45,5.368,5.062,9.003,8.062,5.496,8.416,8.023,4.844
RGR0841,2937672,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,2.2,,28,,16,,RGR,,,,,,39.721,4.95,8.607,10.919,11.575,5.393,9.303,8.198,5.878,39.785,39.935,39.443,4.151,4.95,8.505,8.607,10.919,10.851,11.575,5.224,5.393,9.232,8.198,5.878,9.303,8.011,5.668
RGR0842,2937671,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,1.7,,29,,16,,RGR,,,,,,37.43833333,5.859,7.993,11.217,10.971,5.343,8.758,7.92,5.6,37.517,37.324,37.474,5.194,5.859,7.993,7.795,10.463,11.217,10.971,4.541,5.343,8.13,7.92,5.6,8.758,7.475,5.335
RGR0843,2937670,Y,,LongIsland,McKanns,coastal,23.388310,-75.140756,F,1.7,,28,,16,,RGR,,,,,,39.24766667,4.903,8.622,11.291,11.684,5.808,8.876,8.232,5.52,39.547,38.977,39.219,4.903,4.603,8.308,8.622,11.291,11.018,11.684,4.834,5.808,8.876,7.885,5.52,8.288,8.232,3.862
,MX001,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.5,,33,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX002,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.9,,30,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX003,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,1.7,,34,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX004,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.0,,30,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX005,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.1,,32,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX006,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.3,,31,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX007,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,3.5,,32,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX008,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,1.9,,32,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX009,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.1,,31,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX010,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.1,,27,,16,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX011,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,3.1,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX012,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.2,,31,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX013,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,1.3,,30,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX014,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.3,,29,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX015,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,2.5,,31,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX016,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,F,1.1,,30,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX017,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,4.9,,33,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX018,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,2.1,"small, feminine dewlap",31,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX019,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,4.3,,31,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX020,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,3.8,,32,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX021,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,6.2,,33,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX022,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,2.9,small dewlap,33,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX023,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,3.5,,36,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX024,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,3.8,,33,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX025,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,4.3,all 4th toes are injured,NA,,NA,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX026,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,3.8,,29,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX027,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,2.1,small dewlap,34,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX028,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,2.6,,34,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX029,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,3.6,,33,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX030,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,2.9,,34,,21,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX031,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,3.0,,32,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX032,N,6-Dec-15,Mexico,Celestun,urban secondary,20.85912,-90.39697,M,5.8,,34,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX033,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,1.7,,33,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX034,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,2.2,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX035,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,2.1,,33,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX036,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,2.5,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX037,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,1.6,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX038,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,2.2,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX039,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,2.6,,30,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX040,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,1.6,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX041,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,1.8,,32,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX042,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,2.3,,30,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX043,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,1.1,tail lost in bag,30,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX044,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,2.9,,31,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX045,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,2.3,,33,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX046,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,4.6,,32,,18,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX047,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,5.3,,33,,21,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX048,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,6.1,,34,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX049,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,4.4,,32,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX050,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,F,1.9,,34,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX051,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,3.9,wierdly bulbous eyes,32,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX052,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,6.0,,32,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX053,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,4.3,,33,,21,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX054,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,2.6,,33,,21,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX055,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,3.2,,33,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX056,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,2.4,,34,,21,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX057,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,3.6,,33,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX058,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,2.8,,33,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX059,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,5.3,,33,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX060,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,2.4,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX061,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,4.4,,33,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX062,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,3.3,,32,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX063,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,2.5,,32,,20,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX064,N,8-Dec-15,Mexico,Celestun,coppice,20.85066,-90.40212,M,3.5,,33,,19,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX065,N,10-Dec-15,Mexico,Celestun,coastal,ANSA4,ANSA4,F,2.8,,30,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX066,N,10-Dec-15,Mexico,Celestun,coastal,ANSA4,ANSA4,F,1.6,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX067,N,10-Dec-15,Mexico,Celestun,coastal,ANSA4,ANSA4,F,2.0,,31,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MX068,N,10-Dec-15,Mexico,Celestun,coastal,ANSA4,ANSA4,F,1.9,,32,,17,,RGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
