RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,lamellae hind internal,lamellae hind external,lamellae front internal,lamellae front external,lamellae counter,lamellae hind internal replicate,lamellae front internal replicate,lamellae counter replicate,ventral scale count,dorsal scale count,SVL,Finger,Toe,Jaw,Head,Radius,Femur,Tibia,Meta,SVL_1,SVL_2,SVL_3,R_finger,L_finger,R_toe,L_toe,r_jaw,l_jaw,head,r_radius,l_radius,r_femur,r_tibia,r_meta,l_femur,l_tibia,l_meta
RGR0302,2938549,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.5,,28,,15,,Reem/RGR,,,,,,39.11766667,5.028,7.591,11.318,11.769,5.674,8.72,7.448,4.961,39.231,39.196,38.926,3.855,5.028,7.591,7.57,10.951,11.318,11.769,5.674,5.529,8.339,7.385,4.961,8.72,7.448,4.961
RGR0303,2938548,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.5,,27,,18,,Reem/RGR,,,,,,50.15166667,7.025,9.947,13.858,14.569,6.651,11.848,10.32,7.104,50.165,49.782,50.508,5.504,7.025,9.947,7.706,13.671,13.858,14.569,6.651,6.266,11.848,10.02,7.064,11.711,10.32,7.104
RGR0304,2938547,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.2,,29,,18,,Reem/RGR,,,,,,49.715,7.867,11.354,13.365,13.889,6.828,11.47,10.06,6.974,49.519,49.864,49.762,7.508,7.867,10.459,11.354,13.034,13.365,13.889,5.491,6.828,11.47,10.06,6.819,11.157,9.733,6.974
RGR0305,2938546,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.9,,29,,17,,Reem/RGR,,,,,,46.34266667,6.798,9.39,12.406,12.293,7.135,11.533,10.127,7.113,46.124,46.195,46.709,5.644,6.798,9.265,9.39,12.406,11.907,12.293,7.135,6.927,11.533,9.855,7.113,11.183,10.127,6.892
RGR0306,2938545,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.2,,30,,17,,Reem/RGR,,,,,,43.96633333,6.037,9.545,12.154,12.942,6.249,10.737,9.256,6.679,43.697,44.089,44.113,5.923,6.037,9.545,9.314,11.769,12.154,12.942,4.728,6.249,9.539,9.256,6.6,10.737,9.156,6.679
RGR0307,2938544,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,4.0,,31,,17,,Reem/RGR,,,,,,54.10133333,8.012,11.538,14.816,14.899,6.866,11.893,10.708,7.368,54.22,54.209,53.875,7.595,8.012,11.538,10.131,14.816,14.076,14.899,6.792,6.866,11.692,10.708,7.368,11.893,9.85,7.082
RGR0308,2938543,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.4,,31,,18,,Reem/RGR,,,,,,51.18433333,7.475,10.601,14.211,14.163,7.166,11.542,11.108,7.186,51.255,50.993,51.305,6.867,7.475,10.601,10.546,14.211,13.298,14.163,7.038,7.166,11.542,10.542,7.186,11.164,11.108,6.981
RGR0309,2938542,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.7,,30,,19,,Reem/RGR,,,,,,46.77,7.259,9.527,13.946,14.045,7.209,11.183,9.667,6.921,46.841,46.635,46.834,7.259,6.132,9.527,9.461,13.946,13.728,14.045,7.209,6.941,11.183,9.667,6.921,10.874,9.36,5.919
RGR0310,2938541,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,2.9,no tail,31,,20,,Reem/RGR,,,,,,47.19266667,6.914,9.643,13.937,13.95,7.34,11.422,10.724,6.674,46.962,47.127,47.489,6.589,6.914,9.643,8.501,13.937,13.661,13.95,6.266,7.34,11.422,10.724,6.606,10.941,9.311,6.674
RGR0311,2938540,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.6,,29,,17,,Reem/RGR,,,,,,52.11466667,7.824,10.899,13.784,14.155,7.328,11.88,10.882,7.168,52.003,52.21,52.131,7.465,7.824,10.048,10.899,13.479,13.784,14.155,7.328,7.084,11.579,10.882,7.168,11.88,10.533,7.112
RGR0312,2938539,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.8,,26,,17,,Reem/RGR,,,,,,39.69066667,5.999,7.944,10.606,11.151,5.085,9.327,7.94,5.599,39.96,39.326,39.786,5.556,5.999,7.944,7.669,10.606,10.476,11.151,5.085,4.736,8.952,7.889,5.267,9.327,7.94,5.599
RGR0313,2938538,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.6,,30,,18,,Reem/RGR,,,,,,39.614,5.426,8.277,11.019,11.445,5.674,8.775,7.467,5.409,39.519,39.478,39.845,5.426,4.482,8.277,7.368,11.019,10.273,11.445,4.955,5.674,8.6,7.467,5.409,8.775,7.169,5.252
RGR0314,2938537,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.1,,28,,17,,Reem/RGR,,,,,,46.905,7.029,9.925,13.617,13.575,6.915,11.191,10.967,6.954,46.973,46.76,46.982,6.213,7.029,9.695,9.925,12.857,13.617,13.575,5.39,6.915,11.008,10.967,6.954,11.191,9.563,6.357
RGR0315,2938536,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.1,,31,,NA,,Reem/RGR,,,,,,48.90533333,6.845,9.998,13.881,13.799,6.772,11.351,10,6.828,49.187,48.675,48.854,6.845,6.579,9.761,9.998,13.881,13.373,13.799,6.698,6.772,11.351,10,6.772,10.781,9.436,6.828
RGR0316,2938535,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,4.1,,31,,18,,Reem/RGR,,,,,,52.08766667,7.99,11.212,14.132,14.778,6.426,12.066,10.901,7.505,52.107,52.154,52.002,7.209,7.99,10.857,11.212,14.132,13.723,14.778,6.426,6.148,12.066,10.901,7.505,11.812,10.643,7.151
RGR0317,2938534,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.4,,31,,19,,Reem/RGR,,,,,,51.71433333,7.512,9.79,14.184,13.439,7.056,12.091,10.371,7.112,51.616,51.794,51.733,7.119,7.512,9.79,9.046,13.533,14.184,13.439,7.056,6.766,12.091,9.848,6.698,11.618,10.371,7.112
RGR0318,2938533,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.6,,29,,17,,Reem/RGR,,,,,,52.09,7.26,10.222,14.431,13.961,6.475,12.07,10.749,7.488,51.993,52.288,51.989,7.26,6.266,8.866,10.222,13.713,14.431,13.961,6.475,6.099,11.835,10.241,6.915,12.07,10.749,7.488
RGR0319,2938532,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.3,,26,,16,,Reem/RGR,,,,,,38.201,5.459,7.861,10.156,10.858,5.54,9.247,8.373,5.541,38.343,38.378,37.882,4.812,5.459,7.832,7.861,10.028,10.156,10.858,5.54,5.229,8.665,8.373,5.276,9.247,7.887,5.541
RGR0320,2938531,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.4,,28,,16,,Reem/RGR,,,,,,38.263,5.577,8.304,10.791,9.949,5.954,8.867,7.866,5.416,38.24,38.205,38.344,5.577,5.029,8.304,7.493,10.791,9.954,9.949,5.954,5.092,8.867,7.09,5.14,8.72,7.866,5.416
RGR0321,2938530,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.5,,28,,18,,Reem/RGR,,,,,,52.444,6.839,10.801,14.261,14.84,6.565,11.736,10.229,7.403,52.584,52.473,52.275,6.839,,10.801,10.451,14.03,14.261,14.84,6.23,6.565,11.736,9.797,7.198,11.299,10.229,7.403
