RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0318,2938533,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0319,2938532,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0320,2938531,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0321,2938530,Y,,Abaco,Little Harbour,coastal,26.325994,-76.996839,M,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0322,2938529,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.6,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0323,2938528,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0324,2938527,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.4,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0325,2938526,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0326,2938525,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0327,2938524,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0328,2938523,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0329,2938522,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0330,2938521,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0331,2938520,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0332,2938519,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0333,2938518,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0334,2938517,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0335,2938516,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0336,2938515,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0337,2938514,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0338,2938513,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0339,2938512,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0340,2938511,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0341,2938510,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0342,2938509,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0343,2938508,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0344,2938507,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0345,2938506,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0346,2938505,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0347,2938504,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0348,2938503,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0349,2938502,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0350,2938501,Y,20150615,Abaco,Little Harbour,coppice,26.31705,-77.003854,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0351,2938500,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0352,2938499,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0353,2938498,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0354,2938497,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0355,2938496,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0356,2938495,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0357,2938494,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0358,2938493,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0359,2938492,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,F,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0360,2938491,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,F,1.4,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0361,2938490,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0362,2938489,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0363,2938488,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0364,2938487,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0365,2938486,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,F,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0366,2938485,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0367,2938484,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,F,1.2,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
